Date,Subways: Total Estimated Ridership,Buses: Total Estimated Ridership,LIRR: Total Estimated Ridership,Metro-North: Total Estimated Ridership,Access-A-Ride: Total Scheduled Trips,Bridges and Tunnels: Total Traffic,Staten Island Railway: Total Estimated Ridership
2020-09-25,1761591,1110956,92506,49819,21233,912599,3708
2020-09-26,1120143,755197,47169,35771,12128,824514,32
2020-09-27,846179,576684,39994,28480,9491,731090,5
2020-09-28,1489240,985185,89664,43237,17678,753158,3371
2020-09-29,1661264,1057135,88444,40515,20517,790861,3632
2020-09-30,1740820,1101663,89223,41967,21424,822682,3704
2020-10-01,1809958,1159859,86082,42390,22309,870605,4003
2020-10-02,1790612,1115793,87291,48883,21626,891268,3589
2020-10-03,1168040,777674,45018,36907,12759,810625,33
2020-10-04,852830,570608,34976,27667,10010,706562,761
2020-10-05,1678792,1102675,88694,42257,19971,783540,3587
2020-10-06,1758454,1137217,87748,43803,21475,802900,3866
2020-10-07,1770617,1123231,87119,43534,23027,814866,3791
2020-10-08,1798005,1126770,87959,44802,21964,845788,3913
2020-10-09,1808079,1117172,78663,52686,21274,896404,3700
2020-10-10,1170227,771088,44528,41409,12627,823775,1430
2020-10-11,848469,564051,34593,28784,9470,692668,1049
2020-10-12,1284655,767564,76776,39838,15722,685981,2237
2020-10-13,1715183,1063680,76552,42205,20909,765671,3670
2020-10-14,1838682,1162256,89173,45148,23169,824528,3956
2020-10-15,1853753,1152434,90288,46249,22834,866244,4069
2020-10-16,1671320,974110,83798,47291,20776,820105,3366
2020-10-17,1209473,778070,43768,37764,11831,794519,1588
2020-10-18,896812,583350,34682,30690,9998,752261,1074
2020-10-19,1719153,1105134,89186,44368,20812,782238,3570
2020-10-20,1780231,1119283,86591,42741,21936,790017,3859
2020-10-21,1812949,1140385,86210,44102,22959,806737,3848
2020-10-22,1825208,1140210,88686,45770,22391,845063,3927
2020-10-23,1842588,1123540,89931,51765,21766,881994,3680
2020-10-24,1185612,775122,43618,38673,12916,805453,0
2020-10-25,885001,572347,33678,28321,10074,725808,0
2020-10-26,1690651,1061566,86745,43557,20817,760603,3429
2020-10-27,1815242,1143906,87401,43340,21870,789371,3642
2020-10-28,1819352,1119450,86652,43289,23258,801965,3676
2020-10-29,1705072,987440,81794,41157,20925,776466,3539
2020-10-30,1768018,1030639,84254,47967,21243,824679,3270
2020-10-31,1174059,747636,41538,34077,12816,743811,20
2020-11-01,786675,510820,29495,22602,10180,660914,3
2020-11-02,1747908,1072262,87198,40609,21127,772129,3535
2020-11-03,1602912,1027710,82140,39749,20416,720561,3184
2020-11-04,1690489,1089354,81551,38818,22174,754703,3448
2020-11-05,1793796,1130774,86987,41550,22937,818991,3793
2020-11-06,1837314,1120729,89499,48138,22659,858167,3546
2020-11-07,1246321,752851,46368,35870,13409,790711,35
2020-11-08,927670,587220,38485,27961,10474,726041,846
2020-11-09,1752614,1111203,91681,42627,21444,773216,3561
2020-11-10,1836902,1151911,91532,43083,23138,800964,3848
2020-11-11,1614812,969123,83306,40073,20263,713639,3050
2020-11-12,1776666,1054132,86189,40381,22059,779141,3546
2020-11-13,1816693,1061680,86252,45127,22054,821059,3332
2020-11-14,1215477,755951,41422,31397,12928,735029,14
2020-11-15,820858,528421,30948,20946,9763,596389,697
2020-11-16,1741750,1079560,89463,41961,21851,757987,3532
2020-11-17,1788847,1092416,86965,40078,22524,764724,3584
2020-11-18,1787688,1065597,84069,39693,23390,776421,3495
2020-11-19,1757535,1056928,84662,40122,21780,800461,3529
2020-11-20,1800423,1079029,87402,44683,22945,843069,3473
2020-11-21,1157957,750801,39204,27716,13193,742369,19
2020-11-22,817963,542124,31019,20269,10694,598348,92
2020-11-23,1646525,1005225,87693,40668,21297,755374,3223
2020-11-24,1735702,1068789,89805,41772,22814,821449,3405
2020-11-25,1688227,1037242,93444,46209,21450,853222,3166
2020-11-26,652276,444391,72572,20393,12151,564192,847
2020-11-27,1263473,815993,77273,25009,12395,671213,2046
2020-11-28,1032823,689580,37770,24688,10808,649087,1203
2020-11-29,826974,548548,32628,21898,9360,631798,826
2020-11-30,1459131,849277,80033,37026,19751,652663,3035
2020-12-01,1706348,1068627,73589,35225,21693,752069,3432
2020-12-02,1699968,1026056,73631,35615,22712,746840,3277
2020-12-03,1736045,1070197,75093,37013,22941,767310,3325
2020-12-04,1701628,1024641,72062,39228,21960,775709,3121
2020-12-05,1000240,617332,33528,19727,10151,572557,996
2020-12-06,878393,547330,35055,19652,9904,590525,885
2020-12-07,1656627,1032813,77787,36890,21424,729674,3209
2020-12-08,1540893,1034410,75033,36403,22177,744112,3185
2020-12-09,1701926,1018247,74734,35917,22459,749886,3233
2020-12-10,1761336,1075970,76847,37600,22845,784406,3346
2020-12-11,1786290,1064457,79717,42420,22751,821871,3278
2020-12-12,1091352,703892,41791,24118,12307,671668,20
2020-12-13,911439,582389,39293,22669,10208,659446,80
2020-12-14,1584089,955525,75008,36057,21333,723908,2979
2020-12-15,1783388,1088287,78446,38322,23432,819063,3353
2020-12-16,1569079,853797,68092,33572,19296,625006,2899
2020-12-17,1079818,523854,21417,12527,9940,297298,1613
2020-12-18,1735664,943587,74908,41287,17537,736356,3063
2020-12-19,1112827,670787,41101,24217,11589,651814,25
2020-12-20,821265,516593,32597,18767,9585,555254,736
2020-12-21,1716035,1028489,81225,39814,21647,777049,3244
2020-12-22,1760948,1046799,82001,39579,22820,814975,3254
2020-12-23,1772537,1048565,84404,42100,23305,864271,3201
2020-12-24,1312480,822916,75759,38899,15928,760624,2176
2020-12-25,485208,314171,51348,14435,8611,476547,631
2020-12-26,879170,559111,36047,22076,9094,593895,1014
2020-12-27,760350,474033,34432,20470,9457,594862,901
2020-12-28,1510168,922336,81566,41012,18820,743305,3027
2020-12-29,1555198,930711,78904,39416,19717,759864,3097
2020-12-30,1582486,948194,79298,40962,20922,799839,2990
2020-12-31,1274984,792993,75157,39947,17167,704297,2162
2021-01-01,613692,378288,28977,14988,5960,445950,805
2021-01-02,988418,608686,28879,23139,10450,624765,1194
2021-01-03,653187,413820,20819,15546,9745,496494,728
2021-01-04,1557977,964597,71078,35679,20612,688045,3260
2021-01-05,1597518,990479,70424,35805,21641,708610,3392
2021-01-06,1613629,996123,70289,35857,22795,726679,3260
2021-01-07,1611099,989097,69695,36344,21571,736609,3149
2021-01-08,1619242,982175,68649,39102,21641,754548,3017
2021-01-09,990412,643475,26962,22332,12023,630790,806
2021-01-10,763097,501437,23751,18076,9467,564543,593
2021-01-11,1568207,966517,72285,36015,21089,708058,3123
2021-01-12,1640428,997279,71403,36563,21623,730831,3297
2021-01-13,1641652,996646,70591,36488,22720,737859,3160
2021-01-14,1647396,1017757,70937,37403,21950,754071,3234
2021-01-15,1627120,981817,70180,41025,21819,788779,2978
2021-01-16,991500,645625,27116,22548,11654,631135,1099
2021-01-17,797654,504031,24223,20269,9880,580771,910
2021-01-18,1276978,766926,68674,22337,14124,689251,2141
2021-01-19,1635915,1013616,72565,36885,21049,736254,3328
2021-01-20,1575075,921371,67925,35263,19281,712711,2963
2021-01-21,1652842,1007042,71225,37003,19925,760221,3258
2021-01-22,1672001,1018584,71317,40981,20375,787474,3174
2021-01-23,997551,619673,27942,22216,10536,640381,1114
2021-01-24,741139,458203,23974,17881,8317,560522,821
2021-01-25,1592468,978987,73131,36509,19991,727393,3226
2021-01-26,1550953,911579,68237,34574,18115,653068,2965
2021-01-27,1660278,1004792,70353,35635,19841,740154,3098
2021-01-28,1646806,950205,70023,37015,20139,768600,3208
2021-01-29,1511680,812264,65128,37760,19047,780131,2646
2021-01-30,942615,566837,26642,21229,10284,652550,811
2021-01-31,722853,427945,23091,17531,8616,573512,620
2021-02-01,583230,337228,8611,12093,12202,156759,954
2021-02-02,1005985,543073,22756,22258,8155,311607,1517
2021-02-03,1702598,949695,69068,36347,16869,656614,3057
2021-02-04,1785833,1033791,71341,37590,20328,742193,3381
2021-02-05,1741015,1001775,68866,40322,20136,766091,3115
2021-02-06,1148477,715717,29248,25168,12020,689415,1280
2021-02-07,652521,367095,17110,14068,7115,340122,736
2021-02-08,1639753,964007,70984,36921,17786,701146,3075
2021-02-09,1666467,992290,69548,34582,19386,682085,3123
2021-02-10,1750121,1052021,71257,36580,22169,769088,3284
2021-02-11,1714656,1005348,70196,37230,20144,755367,3148
2021-02-12,1706430,965421,72130,42228,20165,803912,2823
2021-02-13,1092063,656637,29284,25456,11669,666722,1198
2021-02-14,858014,479319,23392,20489,7835,551288,863
