Date,Subways: Total Estimated Ridership,Buses: Total Estimated Ridership,LIRR: Total Estimated Ridership,Metro-North: Total Estimated Ridership,Access-A-Ride: Total Scheduled Trips,Bridges and Tunnels: Total Traffic,Staten Island Railway: Total Estimated Ridership
2023-12-22,3372318,1110555,231036,206169,29324,979372,5878
2023-12-23,2244175,708808,139904,130053,17627,876791,2700
2023-12-24,1657096,549448,92540,77874,20241,793031,1912
2023-12-25,1273729,381879,80587,65350,14750,748318,1668
2023-12-26,2668642,906670,219149,192910,20706,867072,5158
2023-12-27,2912007,955890,220010,186541,25945,881140,5373
2023-12-28,3064841,969231,218546,193235,26462,887521,5395
2023-12-29,3198885,1007697,237781,210361,26892,909062,5784
2023-12-30,2440211,720564,121688,121647,16983,833538,2780
2023-12-31,1934651,548344,99817,89554,20005,671873,2029
2024-01-01,1648734,455965,82811,73957,9165,730489,2018
2024-01-02,3290639,1091104,209680,184978,25961,829660,7107
2024-01-03,3555082,1212761,217373,194441,31304,856822,7565
2024-01-04,3560703,1242971,212217,190588,31233,867791,7450
2024-01-05,3263064,1185046,199441,173362,30480,886766,5963
2024-01-06,1942458,684686,92741,82890,15850,721283,2070
2024-01-07,1472438,502518,72971,57280,13723,566397,1533
2024-01-08,3303727,1226783,208960,184150,28890,844853,7001
2024-01-09,3353192,1135694,213699,188888,30430,780334,6944
2024-01-10,3557166,1248493,217461,191221,31338,844710,7216
2024-01-11,3688916,1293940,229117,199799,32790,921166,7337
2024-01-12,3365791,1228696,207670,182896,31096,930218,6286
2024-01-13,2167383,755670,101558,97439,17168,819900,2210
2024-01-14,1743556,588809,85521,78197,18588,750002,1745
2024-01-15,2169917,783032,91887,80498,16502,816628,3017
2024-01-16,3235935,1078860,205716,178389,29826,712714,5414
2024-01-17,3616923,1193111,217173,199986,32054,863242,6891
2024-01-18,3655850,1235693,217911,197257,32318,896766,7014
2024-01-19,3176408,1109408,191999,171490,27175,793429,5330
2024-01-20,2024041,677335,96128,82817,15487,758923,1926
2024-01-21,1576126,548497,78041,66955,17147,718777,1482
2024-01-22,3305387,1210644,209302,185181,30092,841078,6558
2024-01-23,3652488,1264199,233311,205300,33111,864670,7194
2024-01-24,3666907,1247798,223928,201969,33082,867077,7027
2024-01-25,3681867,1256481,223766,199560,32517,890573,6845
2024-01-26,3380816,1193175,213749,184511,31329,913609,5681
2024-01-27,2283244,801262,117555,102600,19099,853000,2409
2024-01-28,1549077,535857,75177,66794,17473,712530,1455
2024-01-29,3297571,1211703,214890,187702,29367,838882,6755
2024-01-30,3717520,1284597,230931,207896,32782,868230,7744
2024-01-31,3808584,1325692,228148,204353,33417,882805,7651
2024-02-01,3814682,1337508,214275,189621,33540,911954,7465
2024-02-02,3457807,1239617,200395,174044,32175,917639,6207
2024-02-03,2324038,808103,113576,102310,20070,845878,2357
2024-02-04,1742107,626299,86327,77083,20480,790429,1746
2024-02-05,3481777,1297578,218879,190181,31372,855224,7053
2024-02-06,3857533,1346868,233524,208252,33618,880296,7709
2024-02-07,3900992,1341486,229426,202871,34799,896482,7655
2024-02-08,3903673,1350925,232069,198010,34386,937494,7442
2024-02-09,3547321,1268268,218909,185475,32233,953705,6121
2024-02-10,2385448,795892,118074,99942,20462,876746,2596
2024-02-11,1774698,628400,83832,73614,20610,759996,1769
2024-02-12,3374596,1254403,212628,185118,30323,888941,6132
2024-02-13,2273584,724893,166803,134355,23271,480178,3641
2024-02-14,3963628,1282121,230505,201686,32796,909016,7645
2024-02-15,3874860,1305830,228885,202704,33402,948001,7500
2024-02-16,3504536,1225865,210552,186547,32442,962249,6269
2024-02-17,2178047,680638,95271,92423,17545,769698,2038
2024-02-18,1850840,604537,89877,81659,18975,794483,1720
2024-02-19,2244741,842548,96569,85973,17585,814165,3007
2024-02-20,3490990,1201850,233827,207099,32208,895208,7023
2024-02-21,3591484,1222440,230058,201074,33590,892324,7112
2024-02-22,3588173,1212903,225465,195315,32702,924554,6674
2024-02-23,3219121,1126271,208527,182348,30262,916874,5479
2024-02-24,2308808,788962,114816,98942,19456,866204,2407
2024-02-25,1740477,608010,88104,78248,19822,822624,1800
2024-02-26,3439079,1275320,217914,187542,30867,873604,6969
2024-02-27,3802458,1332209,233207,208042,33571,893537,7659
2024-02-28,3784177,1290829,228110,199671,33664,889784,7428
2024-02-29,3905888,1334777,232010,204828,33637,957616,7295
2024-03-01,3573658,1276428,181633,157348,33416,968878,6220
2024-03-02,2094029,689029,98266,85586,19380,823629,2084
2024-03-03,1961510,686787,93906,85095,21351,857039,1981
2024-03-04,3539671,1319592,219565,188845,32231,887009,7229
2024-03-05,3819514,1263377,236999,204515,34277,868487,7344
2024-03-06,3865589,1273337,225080,198040,35207,890058,7555
2024-03-07,3893731,1334827,226926,197659,34235,941815,7414
2024-03-08,3685219,1291469,226372,192899,34613,987695,6588
2024-03-09,2128635,747405,113368,97183,19661,857351,2174
2024-03-10,1803578,630566,90567,77768,20080,818114,1750
2024-03-11,3497588,1270081,218755,188108,31600,869087,6854
2024-03-12,3988438,1370319,239002,213584,34978,911441,7820
2024-03-13,4024943,1377062,237603,212582,36469,937527,8100
2024-03-14,4049186,1368263,240124,211962,36111,970105,7658
2024-03-15,3643013,1275542,227481,199285,33266,986807,6558
2024-03-16,2553056,838318,138156,129667,20796,924262,3108
2024-03-17,1972170,625861,103993,86964,20237,862748,2078
2024-03-18,3482565,1296423,221451,190770,31905,895292,7072
2024-03-19,3869116,1336910,242771,210028,34899,909501,7795
2024-03-20,3886104,1334002,234446,206030,35998,927404,7700
2024-03-21,3862248,1317112,228782,200037,35097,947309,7292
2024-03-22,3581959,1251225,225175,187489,33549,975518,6299
2024-03-23,1863863,587004,95770,77331,17633,733638,1766
2024-03-24,1912946,653413,95973,80451,22334,861573,1890
2024-03-25,3583716,1281676,224068,192720,31947,902281,7032
2024-03-26,3969793,1355991,239790,211566,34874,914666,7754
2024-03-27,4014011,1342695,241268,207744,35627,943920,7628
2024-03-28,3910547,1223847,239840,200583,34416,954143,6780
2024-03-29,3372535,1096254,241583,198343,30293,966343,5092
2024-03-30,2526569,801723,135355,111061,19891,906427,2748
2024-03-31,1936295,606411,121273,98458,23316,933446,2096
2024-04-01,3321989,1168598,208291,180107,30083,917643,6053
2024-04-02,3900061,1247638,234615,206753,34415,889922,7289
2024-04-03,3890305,1162660,222764,195001,34971,851814,6815
2024-04-04,4100733,1339531,232730,201745,34712,957042,7180
2024-04-05,3800800,1263607,225107,202580,34503,981699,6309
2024-04-06,2477127,822825,128106,117095,21444,928096,2555
2024-04-07,1899641,651153,101624,94103,21759,875089,2033
2024-04-08,3506719,1258402,220359,194106,31777,879783,6873
2024-04-09,4042674,1366571,251964,228390,36151,965630,7937
2024-04-10,3791945,1245909,235585,216591,35534,946464,7115
2024-04-11,4000485,1315916,241215,205013,35354,963140,7326
2024-04-12,3668439,1240823,225168,191755,33701,979494,6265
2024-04-13,2535112,824356,120351,110542,21606,930759,2609
2024-04-14,2068885,664358,103711,93633,21766,897470,2145
2024-04-15,3704177,1319005,233386,203835,32975,933433,7374
2024-04-16,4033514,1370151,243835,220030,35869,941739,8017
2024-04-17,4021256,1347870,243323,214829,35970,942089,7805
2024-04-18,3966226,1303010,230634,203859,34816,955479,7271
2024-04-19,3705782,1278086,223518,205809,33749,1000275,6252
2024-04-20,2537525,830016,125999,123804,21228,949195,2793
2024-04-21,1918237,651681,101817,98834,20807,873632,2017
2024-04-22,3219677,1146285,229680,206229,29919,902943,6171
2024-04-23,3522218,1176798,238274,221191,31727,869972,7063
2024-04-24,3608010,1180243,233010,215927,32658,880348,6847
2024-04-25,3723894,1191480,242243,217219,32999,962228,6820
2024-04-26,3431590,1143792,229885,198590,31859,955900,5647
2024-04-27,2506779,801494,123192,109447,20591,911900,2479
2024-04-28,2084950,649572,100214,91619,21057,881076,1965
2024-04-29,3323706,1161990,225362,201385,30504,866723,6385
2024-04-30,3638986,1193514,240862,218592,32717,872347,6886
2024-05-01,4032791,1350660,230682,205030,35701,954842,7757
2024-05-02,4061242,1349838,235003,210951,36244,980830,7475
2024-05-03,3780888,1285012,226880,204190,34860,1004571,6516
2024-05-04,2563658,849249,123516,122719,22523,951334,2769
2024-05-05,1889174,578132,99491,87988,20709,819681,2571
2024-05-06,3652105,1295794,229643,200506,33424,930298,6869
2024-05-07,4098321,1375535,250953,227303,36309,954763,7966
2024-05-08,4087477,1350511,244202,221059,36981,969162,7623
2024-05-09,4086528,1354139,247959,218370,35927,999321,7344
2024-05-10,3677268,1212090,228020,195091,34539,1001911,5894
2024-05-11,2648580,845713,134051,117308,22810,1004157,3078
2024-05-12,1858872,559614,114118,98717,24531,930720,1755
2024-05-13,3703066,1264180,244216,209794,31980,953646,7137
2024-05-14,4116655,1343633,260745,226656,35800,964136,7698
2024-05-15,4114615,1288427,248434,219840,36951,942648,7856
2024-05-16,4105026,1306481,243988,215601,35940,985179,7590
2024-05-17,3816914,1270674,241980,215838,34945,1023765,6569
2024-05-18,2691368,792454,131709,130279,21562,969098,2855
2024-05-19,2121485,657256,112130,106408,22305,939438,2228
2024-05-20,3682061,1291703,236846,216450,32417,956799,7160
2024-05-21,4029557,1349876,252506,234587,35819,962058,7775
2024-05-22,4104021,1357841,258544,233098,36940,975096,8086
2024-05-23,3863099,1275297,250848,215083,34785,1011195,7442
2024-05-24,3583244,1243655,250907,209130,33663,1034556,6663
2024-05-25,2347159,805680,135961,120036,20733,924855,3031
2024-05-26,2019012,652393,120709,101017,22762,905197,2710
2024-05-27,1667890,594031,99975,81042,12673,742353,2123
2024-05-28,3825781,1300611,257078,227311,34485,967869,7609
2024-05-29,4006764,1309889,254749,227379,36435,943930,8090
2024-05-30,3979959,1301028,253843,219887,35372,997110,7550
2024-05-31,3688627,1257526,245017,211027,35020,1020563,6644
2024-06-01,2446153,848601,128555,110948,22726,999068,2980
2024-06-02,1978037,651637,114504,92567,22640,940743,2339
2024-06-03,3611491,1294956,225413,197640,33679,946610,7168
2024-06-04,3979793,1327963,255090,233237,36865,957990,7800
2024-06-05,4051943,1338427,264512,230173,37800,985722,7942
2024-06-06,3774324,1207899,245631,219447,35234,978812,7059
2024-06-07,3752412,1254339,252098,214062,35464,1035803,6393
2024-06-08,2673220,842779,159020,135138,23371,998451,3150
2024-06-09,2134551,680981,132945,107497,22435,962131,2492
2024-06-10,3702212,1355986,240121,211542,32970,959576,7701
2024-06-11,3995425,1390440,259101,230796,36206,951147,8500
2024-06-12,3977760,1355294,256255,224305,36693,928453,8138
2024-06-13,3936941,1310210,254575,221855,35363,964740,7675
2024-06-14,3517062,1212740,247019,204586,34757,1011986,5973
2024-06-15,2431810,851502,142102,122409,23580,1022686,3104
2024-06-16,1897201,653946,130133,109303,24200,997278,2245
2024-06-17,3325104,1172762,242993,215241,31993,956532,6466
2024-06-18,3920839,1314338,260538,242116,36105,988738,7713
2024-06-19,3046320,1068172,232540,206582,26431,969020,4527
2024-06-20,3857797,1275626,255683,227113,36445,1020534,7217
2024-06-21,3500365,1191812,244215,211543,34695,1022507,6166
2024-06-22,2385207,793674,133102,119962,21970,977336,2743
2024-06-23,1908786,648887,118067,103892,21789,953693,2061
2024-06-24,3467845,1227231,246269,213904,33300,975173,6820
2024-06-25,3831447,1269567,271783,232410,36669,1002164,7685
2024-06-26,3901100,1267408,264126,226518,36344,1020784,7314
2024-06-27,3776811,1214263,255215,227648,35155,1032517,7170
2024-06-28,3522732,1141168,255739,211914,34111,1037403,6305
2024-06-29,2454997,780229,138769,119738,21904,977287,2948
2024-06-30,2002269,583751,126526,108244,20851,885430,2268
2024-07-01,3273546,1156904,216906,185943,32979,954908,6947
2024-07-02,3542073,1216755,234535,207844,35200,951968,7431
2024-07-03,3409357,1198766,237577,205176,36949,1003052,6758
2024-07-04,1992244,643119,117030,101274,17646,752680,2939
2024-07-05,2700734,1001854,207314,183222,28776,854313,4563
2024-07-06,2100877,758425,119417,110386,19730,857713,2688
2024-07-07,1804572,642652,120316,105041,22640,909616,2167
2024-07-08,3228784,1176713,226613,199454,33105,945690,6499
2024-07-09,3605032,1236657,249970,219843,35500,927603,7176
2024-07-10,3691835,1252733,249781,210993,37417,957143,7393
2024-07-11,3688029,1233678,246250,209174,35691,993245,6914
2024-07-12,3261074,1120310,231084,191828,34090,979245,5586
2024-07-13,2203283,743154,123988,107166,20949,912958,2700
2024-07-14,1869670,633752,119283,97038,22682,947148,2160
2024-07-15,3259800,1160722,233209,202008,32763,950682,6398
2024-07-16,3594150,1209152,249559,220620,35468,943841,6828
2024-07-17,3651756,1210515,248424,214137,36547,956017,6845
2024-07-18,3637826,1218605,241785,211370,36119,1005727,7085
2024-07-19,3372874,1207102,243438,206922,34718,1018050,6480
2024-07-20,2269647,803868,131910,125050,19961,980583,2688
2024-07-21,1877704,659004,126169,111438,21664,962715,2080
2024-07-22,3235343,1168226,231813,215087,32431,937858,6510
2024-07-23,3606656,1211237,247915,229841,35110,928295,7177
2024-07-24,3656472,1220410,249158,224862,36652,947798,7260
2024-07-25,3638351,1220056,255367,214281,35373,990676,6850
2024-07-26,3288849,1154709,247475,201321,34431,1012046,5946
2024-07-27,2306948,809660,138344,125101,22582,982745,2991
2024-07-28,1851383,645704,121226,99516,22027,943306,2214
2024-07-29,3202281,1147023,233537,200999,32067,928486,6240
2024-07-30,3590241,1228387,251398,220120,34911,937334,7217
2024-07-31,3576343,1213507,248316,213562,35765,958860,7018
2024-08-01,3544663,1208275,229131,194439,35878,1008364,6902
2024-08-02,3153955,1111340,215453,181008,34487,987721,5784
2024-08-03,2200373,741482,123922,109769,22133,938339,2852
2024-08-04,1752861,588249,108959,92383,22186,885224,2099
2024-08-05,3222601,1154644,234345,192078,33112,955722,6375
2024-08-06,3462581,1130325,234650,207212,35331,898384,6974
2024-08-07,3511253,1117450,239223,202867,36667,920296,6593
2024-08-08,3490217,1108956,230083,196259,35509,940729,6466
2024-08-09,3041276,1039488,215973,170622,32193,907512,5202
2024-08-10,2356405,777613,133623,119101,22199,949079,3156
2024-08-11,1918748,614435,121004,103975,22996,925152,2552
2024-08-12,3169180,1106072,231099,191415,33127,925367,6337
2024-08-13,3491612,1158412,242459,205674,35503,907386,7002
2024-08-14,3544668,1182980,242186,202330,37606,961969,7028
2024-08-15,3495671,1182864,241573,196106,36343,961969,6528
2024-08-16,3198733,1123673,235035,185953,34676,1004704,5596
2024-08-17,2256233,767022,135948,112928,22797,954849,2880
2024-08-18,1713050,578595,106004,82177,20897,853807,1953
2024-08-19,3076559,1090594,224656,183503,31668,931369,5870
2024-08-20,3475888,1164259,250304,211051,34985,952393,6877
2024-08-21,3498651,1159036,247076,204853,36401,958433,6910
2024-08-22,3427911,1140225,245912,199777,34997,985469,6458
2024-08-23,3209666,1095768,235738,196218,33653,999865,5827
2024-08-24,2332624,776019,146684,119252,22523,975307,3025
2024-08-25,1905818,629302,130885,101267,22347,946696,2309
2024-08-26,3113498,1104199,244138,186630,31233,935864,5896
2024-08-27,3477101,1177841,261771,201834,34997,949649,6713
2024-08-28,3516674,1203770,257194,195873,36079,972274,6656
2024-08-29,3438760,1203629,261935,192714,35044,992852,6446
2024-08-30,3152242,1132406,255954,195334,33968,1004458,5287
2024-08-31,2158004,771634,149890,119313,21518,923923,2471
2024-09-01,1969350,658803,120499,95622,22880,896413,2149
2024-09-02,2007446,629636,134118,95598,14939,854109,2571
2024-09-03,3629404,1323572,263763,220831,35977,959389,7337
2024-09-04,3868854,1372412,271660,225508,38623,935127,7588
2024-09-05,4033322,1434726,262639,220098,37475,966058,7475
2024-09-06,3794952,1397369,258126,202757,36478,999365,6606
2024-09-07,2479639,841695,137291,105974,21477,912521,2874
2024-09-08,2101048,724969,120584,98767,23760,914241,2280
2024-09-09,3811344,1458059,247296,214384,35327,930561,7724
2024-09-10,4182405,1510358,263027,233290,38230,951227,8495
2024-09-11,4214707,1489570,263710,228252,39031,921770,9107
2024-09-12,4232214,1515496,263539,228985,38778,984868,8174
2024-09-13,3911412,1442741,254945,219747,37297,1016290,6989
2024-09-14,2706474,913017,145099,136864,24473,1002908,3402
2024-09-15,2161737,705080,128174,118303,24154,946517,2605
2024-09-16,3821428,1473843,254618,215601,35319,934600,7734
2024-09-17,4189311,1536675,268678,232809,38667,945571,8503
2024-09-18,4232888,1539412,281624,229697,39300,963160,8603
2024-09-19,4255184,1547727,272725,226944,38515,997635,8367
2024-09-20,3933048,1471585,270065,215673,36687,1019966,7029
2024-09-21,2744632,950423,160150,133469,23611,980137,3736
2024-09-22,2131910,737715,131192,102752,23164,936446,2560
2024-09-23,3898806,1457916,250701,218237,34543,922758,7994
2024-09-24,4323708,1500066,270524,240779,37488,927777,8938
2024-09-25,4335945,1487149,267471,236202,37829,935215,8904
2024-09-26,4295723,1467648,264141,228971,37117,963068,8216
2024-09-27,3945383,1438524,258258,221034,35968,1010505,6992
2024-09-28,2557982,863284,134408,132177,22142,922085,2928
2024-09-29,1959363,664367,117572,102805,22340,869345,2782
2024-09-30,3849138,1486507,256547,217897,34701,924795,7845
2024-10-01,4179363,1546620,247737,218836,38299,922245,9716
2024-10-02,4068073,1504660,258854,227124,38330,941325,9543
2024-10-03,3627528,1333760,246586,217197,35952,926733,7273
2024-10-04,3506654,1313232,251723,215328,35371,947077,6361
2024-10-05,2710146,953356,142657,148928,23775,966857,4086
2024-10-06,2065294,737760,111257,105906,23677,912831,2534
2024-10-07,3847055,1478576,250063,220335,35754,917137,8833
2024-10-08,4256950,1554839,275934,235974,39100,945208,10259
2024-10-09,4313211,1555422,275026,234694,39877,957877,9926
2024-10-10,4329161,1534201,272428,233710,38911,990350,9495
2024-10-11,3868564,1435476,257460,224122,37027,1021735,7977
2024-10-12,2587128,940999,149093,144234,23525,957916,3409
2024-10-13,2153429,744866,127619,120235,23354,911708,3574
2024-10-14,3066851,1076828,240501,225263,26827,911104,5124
2024-10-15,4284818,1487706,270652,249266,38788,955621,9369
2024-10-16,4357117,1495298,279608,236091,39579,950912,9783
2024-10-17,4309633,1496057,277906,237000,37093,942095,9362
2024-10-18,4030998,1443165,272133,229999,36732,993477,8258
2024-10-19,2752350,930951,156212,147214,24053,981152,3588
2024-10-20,2176476,733271,127452,122789,24069,939223,2606
2024-10-21,3842315,1471964,247857,219983,35133,937487,8975
2024-10-22,4218881,1528809,268294,237771,38656,932275,9628
2024-10-23,4276606,1537563,257031,233881,39211,930104,9629
2024-10-24,4304831,1484054,260193,232459,36754,931734,9653
2024-10-25,4019790,1376080,262815,223941,36635,983885,8083
2024-10-26,2828539,960099,143111,148103,24066,988039,3423
2024-10-27,2208683,740417,120849,115917,23888,918610,2556
2024-10-28,3983168,1473020,253923,229873,35666,926409,8936
2024-10-29,4378791,1514830,272526,249585,38621,939734,9803
2024-10-30,4417951,1533630,267007,246035,40468,970092,9878
2024-10-31,4340272,1423507,257756,221856,37639,952775,8741
2024-11-01,3780874,1290003,213535,185052,37306,947020,6363
2024-11-02,2817106,924453,138761,134522,24481,941777,3273
2024-11-03,2602870,647668,132720,123028,21758,796346,4095
2024-11-04,3949699,1450761,243884,216014,36716,908080,7765
2024-11-05,3640246,1321929,244078,213516,36106,858375,6691
2024-11-06,4113411,1490566,256311,221461,40044,928979,8324
2024-11-07,4232190,1499670,259228,226007,39248,958652,8177
2024-11-08,3971878,1428851,245087,213611,38062,990743,7038
2024-11-09,2770474,920210,133329,134651,24198,924905,3270
2024-11-10,2117144,713083,105256,103048,23972,870080,2321
2024-11-11,3277617,1173328,236005,206579,28032,864822,5534
2024-11-12,4263199,1487306,264372,234752,39828,921273,8595
2024-11-13,4331024,1496105,257349,229455,41143,932923,8342
2024-11-14,4296568,1476496,251765,217969,40039,959032,8022
2024-11-15,3986526,1386340,247886,214139,39068,985910,6829
2024-11-16,2789132,919983,137240,132742,24556,916594,3013
2024-11-17,2101806,719084,118405,101707,24320,841590,2403
2024-11-18,3900958,1442803,246602,214015,36682,861708,7739
2024-11-19,4277932,1504152,260621,235198,39803,923969,8396
2024-11-20,4298945,1508975,261795,232558,41321,952410,8694
2024-11-21,4217744,1352576,247779,217248,38930,925692,7755
2024-11-22,3854860,1304306,240803,205229,37694,961674,6493
2024-11-23,2720244,903100,144950,134514,23654,923692,3057
2024-11-24,2075015,712523,115037,104157,24470,845856,2333
2024-11-25,3914213,1440435,259180,221649,37257,924623,8190
2024-11-26,4030009,1412275,263231,233673,39718,979030,8100
2024-11-27,3710430,1370366,284694,243529,35540,1005916,7495
2024-11-28,1513447,462819,115895,103402,26674,868551,2095
2024-11-29,2677499,910730,243219,219251,19887,829240,4139
2024-11-30,2319981,787685,148820,135368,19542,891736,2916
2024-12-01,1893492,629660,116806,103768,22046,893570,2006
2024-12-02,3813795,1371135,240375,209021,36224,933106,7622
2024-12-03,4240442,1455281,266544,234201,40193,940934,8289
2024-12-04,4374883,1446527,254632,224379,41858,944014,8265
2024-12-05,4354863,1401376,254255,215246,39358,949925,7971
2024-12-06,4121085,1340421,242555,206009,38598,985102,6812
2024-12-07,3017208,883693,149946,139193,24071,917052,2926
2024-12-08,2348950,708798,122147,107390,24671,849700,2395
2024-12-09,3941361,1369917,243001,211638,36847,897819,7292
2024-12-10,4374063,1444209,265077,234161,40973,933091,8214
2024-12-11,4255328,1353141,253052,222538,39455,902382,7923
2024-12-12,4527892,1431599,269149,236210,41074,991418,8108
2024-12-13,4178812,1347451,248254,222096,39020,1011486,6931
2024-12-14,3123454,882335,161398,159083,25602,948115,3452
2024-12-15,2337436,694080,120386,108880,24831,866862,2376
2024-12-16,3866550,1277624,239706,206160,37015,892474,7096
2024-12-17,4341385,1457557,266960,237348,40830,944837,8439
2024-12-18,4292792,1430923,266741,229302,41792,964203,8068
2024-12-19,4255466,1431183,267033,227613,40565,994900,7861
2024-12-20,3842344,1296068,247250,213269,38582,985717,6493
2024-12-21,2645323,788267,147327,138248,23289,898683,2973
2024-12-22,2061173,607735,121379,110023,23526,829779,2330
2024-12-23,3216875,1087369,253495,210375,33496,938009,5776
2024-12-24,2546394,906044,211807,173267,29443,890220,4272
2024-12-25,1378374,417229,87185,66693,18972,746323,1848
2024-12-26,2852679,982867,240534,203127,25211,869094,5222
2024-12-27,3161486,1058666,254609,225114,30638,906118,5656
2024-12-28,2268511,726217,139519,119418,19881,812850,2757
2024-12-29,2122102,664628,127153,107415,22149,810819,2629
2024-12-30,3315993,1110767,248532,209077,31713,896512,6159
2024-12-31,2874096,984193,223942,186037,31482,818825,4925
2025-01-01,1779352,495795,90318,74690,12417,678296,2040
2025-01-02,3376924,1204698,210914,165475,31265,831296,6548
2025-01-03,3413021,1225317,203652,163577,35900,846981,6243
2025-01-04,2315493,774643,117004,100579,21999,788882,2672
2025-01-05,1791020,618750,96683,79761,23665,726411,2039
2025-01-06,3436491,1238969,229503,202575,35840,792617,6887
2025-01-07,3781536,1275936,245930,220945,38048,842968,7409
2025-01-08,3830616,1256260,239444,209550,39406,852748,7798
2025-01-09,3734383,787710,229804,198894,38431,869256,6841
